Date, Open, High, Low, Close, Volume
07/16/21, 85.00, 86.70, 85.00, 86.50, 1780990
07/15/21, 86.70, 86.70, 85.00, 85.00, 301870
07/14/21, 85.50, 87.40, 85.50, 86.50, 607190
07/13/21, 87.95, 87.95, 85.25, 85.25, 1967070
07/12/21, 88.00, 88.40, 86.50, 87.30, 2084810
07/09/21, 87.00, 88.40, 84.35, 88.40, 2023930
07/08/21, 88.50, 89.00, 87.00, 87.00, 931510
07/07/21, 89.00, 89.50, 87.90, 88.50, 1208120
07/06/21, 90.00, 90.00, 88.90, 89.00, 928720
07/05/21, 89.65, 89.65, 89.05, 89.40, 319830
07/02/21, 89.00, 89.85, 89.00, 89.65, 904650
07/01/21, 88.90, 89.95, 88.70, 89.95, 1504350
06/30/21, 87.80, 88.95, 87.80, 88.70, 1612800
06/29/21, 88.00, 88.95, 87.85, 88.95, 714280
06/28/21, 89.00, 89.00, 87.05, 88.00, 894480
06/25/21, 88.10, 89.00, 87.60, 89.00, 1112390
06/24/21, 87.05, 88.60, 86.95, 88.60, 1971740
06/23/21, 86.55, 87.30, 86.55, 87.05, 981880
06/22/21, 87.20, 87.80, 86.50, 86.50, 627120
06/21/21, 87.80, 88.00, 86.20, 87.75, 896730
06/18/21, 87.50, 88.00, 85.90, 88.00, 3649030
06/17/21, 87.50, 87.90, 86.10, 87.50, 468520
06/16/21, 85.80, 88.00, 85.80, 88.00, 3281560
06/15/21, 86.45, 86.50, 85.60, 86.25, 1178470
06/14/21, 86.00, 86.70, 85.10, 86.45, 2408010
06/11/21, 85.10, 86.00, 85.00, 86.00, 2132920
06/10/21, 85.65, 85.75, 85.00, 85.10, 707970
06/09/21, 85.00, 85.75, 84.60, 85.65, 2104390
06/08/21, 85.05, 85.25, 84.50, 85.00, 2424750
06/07/21, 85.75, 85.85, 85.00, 85.15, 1671340
06/04/21, 85.70, 86.05, 85.50, 85.85, 671710
06/03/21, 85.70, 86.00, 84.05, 86.00, 949230
06/02/21, 84.00, 85.95, 83.95, 85.70, 3486490
06/01/21, 84.00, 84.30, 83.10, 84.30, 1395770
05/31/21, 84.00, 84.00, 83.00, 84.00, 900890
05/28/21, 84.95, 85.45, 83.00, 84.00, 2386140
05/27/21, 82.50, 86.00, 82.30, 86.00, 6464480
05/26/21, 81.10, 83.00, 80.85, 82.10, 1052980
05/25/21, 80.30, 80.95, 80.00, 80.95, 1834920
05/24/21, 80.10, 81.00, 79.75, 80.00, 1357890
05/21/21, 80.60, 80.75, 80.10, 80.10, 1196780
05/20/21, 81.60, 81.60, 80.25, 80.25, 1739800
05/19/21, 80.95, 81.60, 80.30, 81.60, 787370
05/18/21, 80.50, 80.80, 80.10, 80.35, 1379870
05/17/21, 81.20, 82.00, 80.35, 80.50, 1957160
05/14/21, 82.50, 82.50, 80.30, 82.15, 1050600
05/12/21, 81.95, 83.00, 81.10, 82.85, 812670
05/11/21, 82.90, 82.90, 81.15, 81.95, 680720
