Date, Open, High, Low, Close, Volume
07/16/21, 1950.00, 1950.00, 1933.00, 1941.00, 45340
07/15/21, 1974.00, 1978.00, 1933.00, 1933.00, 45870
07/14/21, 1976.00, 1979.00, 1971.00, 1974.00, 36060
07/13/21, 1978.00, 1987.00, 1972.00, 1979.00, 83865
07/12/21, 1965.00, 1989.00, 1953.00, 1983.00, 95555
07/09/21, 1965.00, 1965.00, 1936.00, 1965.00, 58425
07/08/21, 1932.00, 1970.00, 1932.00, 1970.00, 55080
07/07/21, 1964.00, 1964.00, 1932.00, 1932.00, 64790
07/06/21, 1940.00, 1988.00, 1939.00, 1964.00, 88235
07/05/21, 1888.00, 1940.00, 1888.00, 1920.00, 67190
07/02/21, 1870.00, 1890.00, 1870.00, 1885.00, 59650
07/01/21, 1841.00, 1874.00, 1841.00, 1870.00, 59520
06/30/21, 1835.00, 1849.00, 1835.00, 1840.00, 43460
06/29/21, 1840.00, 1841.00, 1820.00, 1830.00, 83960
06/28/21, 1855.00, 1857.00, 1831.00, 1840.00, 52485
06/25/21, 1831.00, 1853.00, 1831.00, 1853.00, 35875
06/24/21, 1850.00, 1850.00, 1830.00, 1830.00, 65455
06/23/21, 1830.00, 1845.00, 1821.00, 1840.00, 45790
06/22/21, 1830.00, 1831.00, 1815.00, 1819.00, 76390
06/21/21, 1835.00, 1840.00, 1815.00, 1819.00, 48730
06/18/21, 1856.00, 1860.00, 1815.00, 1815.00, 168515
06/17/21, 1879.00, 1880.00, 1840.00, 1840.00, 63740
06/16/21, 1896.00, 1899.00, 1871.00, 1878.00, 41720
06/15/21, 1895.00, 1899.00, 1880.00, 1890.00, 51265
06/14/21, 1857.00, 1895.00, 1845.00, 1895.00, 104460
06/11/21, 1825.00, 1850.00, 1812.00, 1841.00, 189270
06/10/21, 1829.00, 1845.00, 1820.00, 1820.00, 37500
06/09/21, 1846.00, 1846.00, 1820.00, 1820.00, 56910
06/08/21, 1850.00, 1865.00, 1809.00, 1809.00, 46835
06/07/21, 1843.00, 1864.00, 1840.00, 1840.00, 60275
06/04/21, 1838.00, 1841.00, 1835.00, 1840.00, 74505
06/03/21, 1835.00, 1838.00, 1811.00, 1811.00, 83060
06/02/21, 1836.00, 1845.00, 1825.00, 1835.00, 72820
06/01/21, 1815.00, 1828.00, 1811.00, 1827.00, 21945
05/31/21, 1838.00, 1838.00, 1805.00, 1806.00, 62230
05/28/21, 1850.00, 1855.00, 1807.00, 1811.00, 151345
05/27/21, 1839.00, 1892.00, 1833.00, 1850.00, 457640
05/26/21, 1800.00, 1857.00, 1800.00, 1835.00, 35215
05/25/21, 1820.00, 1825.00, 1800.00, 1800.00, 50930
05/24/21, 1820.00, 1850.00, 1796.00, 1796.00, 56120
05/21/21, 1850.00, 1852.00, 1820.00, 1820.00, 50715
05/20/21, 1867.00, 1867.00, 1850.00, 1850.00, 26970
05/19/21, 1846.00, 1868.00, 1830.00, 1861.00, 16010
05/18/21, 1830.00, 1847.00, 1812.00, 1847.00, 24015
05/17/21, 1820.00, 1844.00, 1820.00, 1831.00, 36930
05/14/21, 1825.00, 1826.00, 1801.00, 1811.00, 84970
05/12/21, 1865.00, 1865.00, 1810.00, 1829.00, 57890
05/11/21, 1860.00, 1870.00, 1846.00, 1860.00, 40005
05/10/21, 1835.00, 1868.00, 1835.00, 1859.00, 32220
05/07/21, 1812.00, 1840.00, 1812.00, 1831.00, 19520
05/06/21, 1843.00, 1845.00, 1810.00, 1810.00, 43965
05/05/21, 1825.00, 1849.00, 1825.00, 1834.00, 28205
05/04/21, 1854.00, 1854.00, 1825.00, 1825.00, 56320
05/03/21, 1839.00, 1850.00, 1830.00, 1830.00, 33175
04/30/21, 1890.00, 1900.00, 1833.00, 1833.00, 115730
04/29/21, 1900.00, 1900.00, 1871.00, 1886.00, 28735
04/28/21, 1901.00, 1919.00, 1883.00, 1886.00, 49115
04/27/21, 1914.00, 1915.00, 1896.00, 1900.00, 33155
04/26/21, 1877.00, 1920.00, 1871.00, 1920.00, 19185
04/23/21, 1866.00, 1877.00, 1866.00, 1870.00, 28220
04/22/21, 1870.00, 1877.00, 1860.00, 1866.00, 24180
04/21/21, 1867.00, 1873.00, 1853.00, 1866.00, 60065
04/20/21, 1855.00, 1880.00, 1851.00, 1864.00, 67460
04/19/21, 1850.00, 1850.00, 1841.00, 1850.00, 41300
04/16/21, 1836.00, 1850.00, 1835.00, 1850.00, 34925
04/15/21, 1843.00, 1843.00, 1832.00, 1835.00, 47885
04/14/21, 1830.00, 1844.00, 1825.00, 1843.00, 49010
04/13/21, 1825.00, 1826.00, 1805.00, 1825.00, 52435
04/12/21, 1832.00, 1848.00, 1820.00, 1825.00, 37000
04/08/21, 1852.00, 1857.00, 1830.00, 1830.00, 53225
04/07/21, 1845.00, 1845.00, 1825.00, 1838.00, 54105
04/06/21, 1872.00, 1875.00, 1841.00, 1843.00, 31410
04/05/21, 1895.00, 1896.00, 1833.00, 1840.00, 74150
03/31/21, 1929.00, 1929.00, 1880.00, 1880.00, 62840
03/30/21, 1905.00, 1912.00, 1900.00, 1901.00, 18120
03/29/21, 1900.00, 1932.00, 1891.00, 1910.00, 28865
03/26/21, 1915.00, 1918.00, 1900.00, 1900.00, 32385
03/25/21, 1910.00, 1913.00, 1900.00, 1900.00, 39930
03/24/21, 1913.00, 1924.00, 1902.00, 1910.00, 65400
03/23/21, 1932.00, 1932.00, 1909.00, 1912.00, 36025
03/22/21, 1910.00, 1936.00, 1900.00, 1930.00, 26460
03/19/21, 1976.00, 1976.00, 1870.00, 1870.00, 76560
03/18/21, 1978.00, 1978.00, 1940.00, 1940.00, 21950
03/17/21, 1990.00, 1990.00, 1930.00, 1930.00, 35420
03/16/21, 1978.00, 1990.00, 1952.00, 1980.00, 58115
03/15/21, 1952.00, 1980.00, 1940.00, 1980.00, 53070
03/12/21, 1969.00, 2010.00, 1953.00, 1960.00, 35680
03/11/21, 2008.00, 2012.00, 1962.00, 1968.00, 75160
03/10/21, 1975.00, 2018.00, 1955.00, 2018.00, 39105
03/09/21, 1991.00, 1992.00, 1965.00, 1965.00, 57615
03/08/21, 1992.00, 2000.00, 1985.00, 1991.00, 43485
03/05/21, 1987.00, 2002.00, 1985.00, 1992.00, 58935
03/04/21, 2000.00, 2012.00, 2000.00, 2000.00, 34355
03/03/21, 2028.00, 2028.00, 2000.00, 2002.00, 13790
03/02/21, 2028.00, 2028.00, 1994.00, 1995.00, 69430
03/01/21, 2026.00, 2026.00, 2004.00, 2026.00, 39490
02/26/21, 2010.00, 2026.00, 1996.00, 2026.00, 177525
02/24/21, 2026.00, 2026.00, 1985.00, 1985.00, 68170
02/23/21, 2036.00, 2036.00, 1977.00, 1977.00, 74935
02/22/21, 2048.00, 2050.00, 2034.00, 2036.00, 23825
02/19/21, 2030.00, 2048.00, 2020.00, 2048.00, 28930
02/18/21, 2050.00, 2060.00, 2030.00, 2030.00, 56415
02/17/21, 2052.00, 2052.00, 2036.00, 2050.00, 34810
02/16/21, 2040.00, 2058.00, 2040.00, 2046.00, 9325
02/15/21, 2040.00, 2080.00, 2040.00, 2040.00, 12130
02/11/21, 2038.00, 2050.00, 2038.00, 2040.00, 18850
02/10/21, 2002.00, 2050.00, 2002.00, 2038.00, 49990
02/09/21, 2020.00, 2026.00, 2000.00, 2000.00, 54445
02/08/21, 2026.00, 2030.00, 2016.00, 2020.00, 38970
02/05/21, 2012.00, 2040.00, 2010.00, 2026.00, 43245
02/04/21, 2010.00, 2020.00, 2006.00, 2012.00, 19875
02/03/21, 2044.00, 2044.00, 2002.00, 2002.00, 73340
02/02/21, 2018.00, 2046.00, 2000.00, 2046.00, 49530
02/01/21, 1985.00, 2020.00, 1984.00, 2020.00, 36260
01/29/21, 2000.00, 2014.00, 1941.00, 1941.00, 161185
01/28/21, 2004.00, 2014.00, 1995.00, 2014.00, 64500
01/27/21, 2018.00, 2020.00, 1998.00, 2004.00, 72845
01/26/21, 2044.00, 2044.00, 2010.00, 2010.00, 43055
01/25/21, 2062.00, 2064.00, 2030.00, 2044.00, 35065
01/22/21, 2100.00, 2102.00, 2060.00, 2060.00, 47890
01/21/21, 2100.00, 2108.00, 2070.00, 2100.00, 69900
01/20/21, 2062.00, 2120.00, 2060.00, 2100.00, 51695
01/19/21, 2082.00, 2106.00, 2060.00, 2060.00, 78785
01/18/21, 2102.00, 2118.00, 2100.00, 2100.00, 25090
01/15/21, 2128.00, 2128.00, 2090.00, 2100.00, 33605
01/14/21, 2026.00, 2130.00, 2024.00, 2130.00, 191380
01/13/21, 2050.00, 2050.00, 2018.00, 2046.00, 45180
01/12/21, 2046.00, 2064.00, 2020.00, 2020.00, 77145
01/11/21, 2030.00, 2094.00, 2030.00, 2040.00, 113750
01/08/21, 2020.00, 2028.00, 2004.00, 2020.00, 102040
01/07/21, 2010.00, 2056.00, 2000.00, 2000.00, 41020
