Date, Open, High, Low, Close
07/23/21,6600.88,6611.31,6461.75,6520.74
07/22/21,6496.97,6586.01,6496.97,6576.62
07/21/21,6611.67,6611.67,6451.12,6476.21
07/19/21,6665.54,6665.54,6510.43,6587.20
07/16/21,6743.78,6783.91,6653.53,6693.83
07/15/21,6829.05,6727.93,6727.93,6727.93
07/14/21,6811.59,6835.41,6785.84,6835.41
07/13/21,6907.48,6907.48,6795.13,6795.13
07/12/21,6838.18,6913.87,6838.18,6913.87
07/09/21,6900.34,6900.34,6745.85,6834.92
07/08/21,6945.99,6966.53,6917.38,6924.99
07/07/21,6994.13,6994.13,6924.21,6943.00
07/06/21,7064.24,7064.24,6992.43,6992.43
07/05/21,6993.68,7037.14,6992.70,7036.38
07/02/21,6976.27,7002.26,6963.44,7002.26
07/01/21,6949.98,7002.23,6946.21,6964.01
06/30/21,6941.16,6957.56,6901.91,6901.91
06/29/21,6939.25,6956.65,6921.07,6956.65
06/28/21,6949.53,6954.61,6901.89,6937.96
06/25/21,6894.27,6950.51,6894.27,6950.51
06/24/21,6917.90,6919.13,6886.00,6886.00
06/23/21,6871.83,6918.96,6871.83,6918.41
06/22/21,6834.19,6910.17,6834.19,6870.41
06/21/21,6840.22,6849.45,6783.19,6827.17
06/18/21,6878.99,6896.36,6800.70,6851.38
06/17/21,6968.56,6974.56,6878.47,6887.92
06/16/21,6957.95,7001.21,6957.95,6973.35
06/15/21,6908.81,6976.73,6893.45,6976.73
06/14/21,6898.20,6917.49,6871.71,6917.49
06/11/21,6890.03,6910.33,6872.59,6907.79
06/10/21,6923.95,6925.14,6872.72,6875.71
06/09/21,6811.46,6922.87,6805.00,6902.54
06/08/21,6781.04,6809.72,6767.34,6809.72
06/07/21,6801.36,6801.36,6758.09,6763.92
06/04/21,6789.03,6810.76,6761.91,6796.34
06/03/21,6835.24,6835.24,6760.19,6791.87
06/02/21,6631.72,6841.69,6631.72,6841.69
06/01/21,6619.02,6644.82,6576.64,6627.43
05/31/21,6656.88,6687.64,6588.04,6628.49
05/28/21,6622.18,6688.07,6597.50,6674.51
05/27/21,6374.31,6665.14,6365.76,6665.14
05/26/21,6223.67,6377.10,6213.44,6341.24
05/25/21,6173.25,6203.00,6164.90,6196.71
05/24/21,6195.87,6209.05,6156.20,6164.89
05/21/21,6201.88,6218.41,6172.18,6199.25
05/20/21,6253.02,6253.02,6197.64,6197.64
05/19/21,6262.52,6269.99,6204.45,6245.71
05/18/21,6230.54,6258.77,6210.00,6244.74
05/17/21,6226.83,6283.58,6188.74,6283.58
05/14/21,6262.31,6269.36,6080.94,6269.36
05/12/21,6310.33,6310.33,6221.93,6236.40
05/11/21,6298.92,6341.12,6281.61,6326.83
05/10/21,6279.79,6321.51,6279.79,6317.41
05/07/21,6278.70,6305.99,6257.50,6258.71
05/06/21,6310.37,6322.17,6233.33,6282.78
05/05/21,6352.55,6354.81,6299.69,6299.69
05/04/21,6391.83,6397.19,6356.14,6359.15
05/03/21,6392.97,6419.52,6369.28,6369.28
04/30/21,6475.61,6476.11,6370.87,6370.87
04/29/21,6453.26,6487.51,6420.94,6487.51
04/28/21,6381.74,6469.14,6375.29,6469.14
04/27/21,6387.15,6397.74,6356.47,6356.47
04/26/21,6417.77,6417.77,6348.56,6389.38
04/23/21,6423.30,6424.55,6371.43,6378.07
04/22/21,6451.23,6451.65,6374.33,6415.53
04/21/21,6492.52,6494.78,6439.39,6439.39
04/20/21,6464.65,6500.42,6459.44,6500.42
04/19/21,6503.77,6503.77,6459.76,6459.76
04/16/21,6533.56,6533.56,6490.68,6494.81
04/15/21,6505.13,6539.96,6464.49,6539.96
04/14/21,6474.25,6523.21,6453.26,6523.21
04/13/21,6520.03,6520.03,6431.71,6457.79
04/12/21,6562.11,6566.67,6504.59,6518.64
04/08/21,6648.71,6648.71,6542.27,6545.17
04/07/21,6591.05,6651.71,6578.12,6651.71
04/06/21,6521.26,6590.11,6518.49,6590.11
04/05/21,6447.40,6500.35,6446.04,6495.15
03/31/21,6554.43,6557.04,6443.09,6443.09
03/30/21,6586.93,6603.06,6504.18,6545.55
03/29/21,6469.26,6653.52,6432.07,6607.78
03/26/21,6567.89,6576.60,6526.29,6544.63
03/25/21,6498.51,6603.55,6498.51,6581.00
03/24/21,6427.72,6497.01,6393.14,6497.01
03/23/21,6381.82,6446.35,6381.82,6446.35
03/22/21,6381.59,6444.58,6325.64,6395.17
03/19/21,6628.74,6638.93,6436.10,6436.10
03/18/21,6581.47,6675.84,6577.64,6630.85
03/17/21,6574.31,6593.53,6548.54,6566.83
03/16/21,6529.10,6610.53,6519.18,6559.08
03/15/21,6694.09,6694.09,6489.79,6552.46
03/12/21,6734.40,6749.13,6693.91,6728.55
03/11/21,6782.57,6782.57,6705.67,6719.18
03/10/21,6752.90,6808.32,6727.10,6808.32
03/09/21,6738.83,6769.38,6668.33,6766.83
03/08/21,6879.77,6879.77,6745.75,6756.92
03/05/21,6864.58,6896.25,6829.21,6881.37
03/04/21,6911.17,6921.10,6839.34,6882.49
03/03/21,6918.74,6942.76,6871.18,6942.76
03/02/21,6862.64,6919.54,6848.81,6919.54
03/01/21,6828.70,6874.40,6798.81,6872.97
02/26/21,6718.06,6827.17,6681.14,6794.86
02/24/21,6808.42,6808.42,6735.84,6755.95
02/23/21,6808.13,6814.67,6736.42,6814.67
02/22/21,6901.93,6907.47,6810.34,6810.34
02/19/21,6858.72,6926.41,6841.48,6926.41
02/18/21,6954.37,6972.26,6849.64,6849.64
02/17/21,6991.36,6995.60,6916.71,6966.43
02/16/21,6969.93,7044.06,6969.93,7044.06
02/15/21,6996.58,7026.40,6959.21,6959.21
02/11/21,7059.48,7076.01,6991.01,6991.01
02/10/21,7076.38,7159.11,7073.78,7082.15
02/09/21,7014.79,7091.92,7014.79,7065.55
02/08/21,6997.28,7032.12,6965.93,7024.48
02/05/21,6899.15,7019.18,6843.83,7019.18
02/04/21,6858.04,6903.75,6809.41,6903.75
02/03/21,6895.43,6913.30,6819.42,6859.46
02/02/21,6838.26,6917.92,6837.31,6867.88
02/01/21,6634.59,6814.76,6634.59,6814.76
01/29/21,6826.65,6827.38,6612.62,6612.62
01/28/21,6808.72,6918.30,6770.75,6851.84
01/27/21,6947.52,6949.48,6824.88,6863.61
01/26/21,7039.17,7039.17,6961.06,6977.16
01/25/21,7026.77,7071.50,7012.76,7071.50
01/22/21,7116.76,7116.76,7007.20,7045.83
01/21/21,7161.07,7161.07,7112.33,7140.29
01/20/21,7164.06,7172.16,7082.75,7143.30
01/19/21,7158.73,7198.45,7137.56,7198.45
01/18/21,7230.05,7230.05,7157.63,7203.44
01/15/21,7282.26,7297.41,7238.46,7238.46
01/14/21,7183.95,7308.44,7180.88,7273.15
01/13/21,7259.46,7284.60,7233.99,7242.85
01/12/21,7326.54,7326.54,7253.81,7258.11
01/11/21,7292.99,7432.40,7285.08,7304.79
01/08/21,7141.35,7289.88,7134.75,7289.88
01/07/21,7054.39,7126.07,7028.06,7119.61
01/06/21,7126.91,7127.01,6928.90,7047.85
01/05/21,7186.72,7186.72,7104.00,7134.18
01/04/21,7149.64,7207.79,7137.91,7197.50
12/29/20,7123.12,7173.27,7120.82,7139.71
12/28/20,7142.95,7142.95,7058.66,7122.25
12/23/20,7169.05,7206.46,7075.18,7204.38
12/22/20,7206.33,7206.54,7081.14,7202.39
12/21/20,7244.85,7251.02,7157.88,7224.89
12/18/20,7266.96,7286.67,7222.01,7272.80
12/17/20,7271.65,7298.02,7236.82,7298.02
12/16/20,7242.47,7299.70,7202.49,7299.70
12/15/20,7281.91,7290.60,7214.14,7227.73
12/14/20,7244.38,7311.21,7214.94,7281.35
12/11/20,7183.88,7304.90,7181.22,7246.16
12/10/20,7114.69,7166.85,7114.69,7154.43
12/09/20,7197.07,7247.34,7102.66,7102.66
12/07/20,7173.70,7203.67,7142.30,7203.67
12/04/20,7184.57,7196.96,7097.35,7134.56
12/03/20,7077.63,7194.13,7022.86,7194.13
12/02/20,7019.25,7080.62,6988.27,7080.62
